id,tweet_id,"tweet_text","tweet_source","tweet_created_time",tweet_retweet_count,tweet_favorite_count,"tweet_pre_process_result",tweet_polarity
6759523,489934272078557184,"RT @SyukMuhamad: #RamadhanDiary -Day 20:Seems like the only news I'm hearing lately are deaths. Now, #MH17.Ya Allah give strong faith fo ...","<a href=\"http://www.cloudhopper.com/\" rel=\"nofollow\">Cloudhopper</a>","Fri Jul 18 00:46:47 +0000 2014",0,0,"RamadhanDiary -Day 20:Seems like only news I'm hearing lately death Now MH17 Ya Allah give strong faith fo",NULL
6759536,489934272086568962,"RT @BloombergNews: Airlines review Ukraine flight paths following #MH17 crash http://t.co/OnZNavzZYY","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:46:47 +0000 2014",0,0,"Airlines review Ukraine flight path following MH17 crash",NULL
6759542,489934272094949377,"\"A bit surreal\": Adelaide couple booked on #MH17 are lucky to be alive. Their STORY HERE: http://t.co/tqdLbQboVK http://t.co/o112jzoeUq","<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","Fri Jul 18 00:46:47 +0000 2014",0,0,"A bit surreal : Adelaide couple booked MH17 lucky be alive Their STORY HERE:",NULL
6759892,489934351774519296,"RT @BuzzFeedNews: AIDS 2014: “…sincere sadness at receiving news that a number of colleagues and friends...were on board…MH17…” http://t.co…","<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","Fri Jul 18 00:47:06 +0000 2014",0,0,"AIDS 2014: “…sincere sadness receiving news a number colleague friend on board…MH17…” …",NULL
6759989,489934372758241280,"RT @TODAYonline: #MH17 crash: #MalaysiaAirlines struck by second disaster after #MH370 in March http://t.co/ixaHG2727Y http://t.co/eys7gX0q…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:47:11 +0000 2014",0,0,"MH17 crash: MalaysiaAirlines struck second disaster MH370 March …",NULL
6760023,489934385320591360,"Male privilege RT @SohrabAhmari: Methinks @FedericaMog's chances for EU high representarive are now DEAD. #MH17","<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","Fri Jul 18 00:47:14 +0000 2014",0,0,"Male privilege Methinks chance EU high representarive now DEAD MH17",NULL
6760072,489934389535465472,"RT @tbgaustralia: Here's something scary. Matthew Spiranovic was on #MH17 a few days ago... http://t.co/8QrJMUkens","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:47:15 +0000 2014",0,0,"Here's something scary Matthew Spiranovic on MH17 few day ago",NULL
6760269,489934435647623170,"RT @TheTodayShow: .@JulieBishopMP has stated that #MH17 was in fact connecting to Australia. #Today9","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:47:26 +0000 2014",0,0,"stated MH17 in fact connecting Australia Today9",NULL
6760577,489934502785867776,"RT @Louise_Johnston: This is insane, Putin's airplane flew the same echelon within an hour of #MH17
http://t.co/WOPsLtPAln http://t.co/AsM1…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:47:42 +0000 2014",0,0,"This insane Putin's airplane flew same echelon within hour MH17 …",NULL
6760630,489934515339419648,"RT @QantasAirways: Our deepest sympathies are with the families of all those onboard MH17 and with everyone at @MAS.","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:47:45 +0000 2014",0,0,"Our deepest sympathy with family all onboard MH17 with everyone",NULL
6760653,489934523740598273,"MH370 is not finished article yet, already arisen about MH17","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:47:47 +0000 2014",0,0,"MH370 not finished article yet already arisen MH17",NULL
6760776,489934548914819072,"RT @MAS: Our focus now is to work with the emergency responders and mobilize its full support to provide all possible care to the #MH17 nex…","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:47:53 +0000 2014",0,0,"Our focus is work the emergency responder mobilize full support provide possible care the MH17 nex…",NULL
6760822,489934561514487809,"RT @MAS: Malaysia Airlines has lost contact of MH17 from Amsterdam. The last known position was over Ukrainian airspace. More details to fo…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:47:56 +0000 2014",0,0,"Malaysia Airlines lost contact MH17 Amsterdam The last known position over Ukrainian airspace More detail fo…",NULL
6760853,489934565683654657,"RT @AkMu_TH: #PrayForMH17","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:47:57 +0000 2014",0,0,"PrayForMH17",NULL
6760913,489934578258165762,"“@ilovrap: RIP 😰🙏Malaysia Airlines MH17, Photos of Crash site. Warning: Graphic. 
#Malaysia #MalaysiaAirlines  http://t.co/SP0Cax3PJR” 😢","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:48:00 +0000 2014",0,0,"“ RIP Malaysia Airlines MH17 Photos Crash site Warning: Graphic Malaysia MalaysiaAirlines ”",NULL
6761029,489934603440758784,"RT @Louise_Johnston: This is insane, Putin's airplane flew the same echelon within an hour of #MH17
http://t.co/WOPsLtPAln http://t.co/AsM1…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:48:06 +0000 2014",0,0,"This insane Putin's airplane flew same echelon within hour MH17 …",NULL
6761102,489934620205400065,"RT @LeroyFer10: My condolences to the family and friends of the passengers on flight MH17... God bless 🙏 R.I.P.","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:48:10 +0000 2014",0,0,"My condolence the family friend the passenger flight MH17 God bless R I P",NULL
6761156,489934632779935745,"RT @9NewsAUS: Vladimir Putin has declared that \"Ukraine bares responsibility\" for the #MH17 tragedy. #9News","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:48:13 +0000 2014",0,0,"Vladimir Putin declared Ukraine bares responsibility the MH17 tragedy 9News",NULL
6761165,489934637007765505,"RT @NATOSource: Malaysian Airlines flight #MH17 reported to have been shot down by BUK-M1 [aka SA-11] surface-to-air missile system http://…","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:48:14 +0000 2014",0,0,"Malaysian Airlines flight MH17 reported have shot by BUK-M1 aka SA-11 surface-to-air missile system http: …",NULL
6761440,489934699892994048,"@lizsquiz Shocking news! The price of pants has shot down faster than #MH17! Check your local Old Navy for details.","<a href=\"http://www.echofon.com/\" rel=\"nofollow\">Echofon</a>","Fri Jul 18 00:48:29 +0000 2014",0,0,"Shocking news The price pant shot faster MH17 Check local Old Navy detail",NULL
6761529,489934720872890368,"Pray for #MH17","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:48:34 +0000 2014",0,0,"Pray MH17",NULL
6761977,489934821561729025,"@DJSKRIBBLE Aw cool thank god I heard about #MH17 and I just wanted to make sure have a safe trip!","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:48:58 +0000 2014",0,0,"Aw cool thank god I heard MH17 I wanted make sure a safe trip",NULL
6762092,489934846714601473,"RT @501Awani: If the aircraft was shot down, the responsible party will be brought to the face of justice - Prime Minister #MH17","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:49:04 +0000 2014",0,0,"If aircraft shot the responsible party be brought the face justice Prime Minister MH17",NULL
6762118,489934850892124160,"RT @TruthfulPursuit: Please Pray for the Families of #MH17. May God's Mercy be with all the innocent in this world #PrayForMH17 http://t.co…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:49:05 +0000 2014",0,0,"Please Pray the Families MH17 May God's Mercy with the innocent this world PrayForMH17 …",NULL
